NAME,EFFORTPOINTS,GEARPOINTS
Kuby-NethergardeKeep,786,79
Huggaträd-MirageRaceway,438,43
Jefferry-MirageRaceway,745,75
Weatherlight,1257,125
Elric-NethergardeKeep,9,1
Linensstuff,61,6
Kharroch,966,96
Baerlyn-NethergardeKeep,1042,104
Escanør,936,94
Legionrock,60,6
Jazeerah,1246,124
Tas-NethergardeKeep,9,1
Druidofmir,934,93
Stormcrow-MirageRaceway,1249,125
Legiondruid,60,6
Inkie,148,15
Menisk,38,4
Wayren-NethergardeKeep,1042,104
Highway,351,35
Salisya,590,60
Masserati,1284,129
Nightstrider,478,48
Wànda,442,44
Dawt,148,15
Shadowswrath,11,1
Jithil,80,8
Krbk,52,5
Hiphoituri-MirageRaceway,462,46
Sylêrx,276,28
Legionwarloc,60,6
Haugaard-MirageRaceway,438,44
Mikehunt,1104,111
Pleistoros,16,2
Eyianne,626,63
Legionrocky,60,6
Scar,332,33
Joyce-MirageRaceway,1249,125
Erguine-MirageRaceway,68,7
Crépuscula,738,74
Desmodeus,6,1
Fellpflege,7,1
Rosie,1186,119
Astalofix-NethergardeKeep,786,79
Bonkei,837,84
Libidor-MirageRaceway,66,7
Oldwar,262,26
Handicapped,198,20
Ardela-NethergardeKeep,112,11
Hela-NethergardeKeep,9,1
Lockofmir,934,93
Antinormal,1088,109
Catschen,590,59
Agoburn,1127,112
Warriorofmir,934,93
Bodhisattva,112,11
Littlek,1292,130
Glomsa,133,13
Vendétta,75,8
Cichy,628,63
Auralina,329,33
Phóbie,722,72
Kohai-NethergardeKeep,112,11
Wiskeybarrel,1104,111
Idrael,42,4
Agravanti-NethergardeKeep,786,79
Ceilie-NethergardeKeep,669,67
Ezhuntard,537,54
Dondrakiis,988,99
Bonker-NethergardeKeep,32,3
Legiongold-MirageRaceway,60,6
Eleeo,112,11
Banksgherb-NethergardeKeep,786,79
Banksgcoin-NethergardeKeep,786,79
Skarlock,31,3
Sicari,31,3
Phabi,722,72
Agobun,1127,112
Palladio,325,32
Docenten-MirageRaceway,438,43
Hiplock-MirageRaceway,462,46
Eowyx,48,5
Xixo-NethergardeKeep,76,8
Hiphuntteri-MirageRaceway,462,46
Ruby-MirageRaceway,41,4
Nemesis-NethergardeKeep,9,1
Gnomemonster,628,63
Kvieta,66,7
Lîzz,14,1
Gnomme,82,8
Dorant-NethergardeKeep,786,79
Huntard-NethergardeKeep,25,3
Galyenai,283,28
Warelv,610,61
Kipshiukas,11,1
Xaurime,966,96
Zevera,34,3
Krister-NethergardeKeep,438,43
Blight,52,5
Valerian,66,7
Hipsoturi-MirageRaceway,462,46
Vidina-MirageRaceway,301,30
Uldis,61,6
Upsydaisy,138,14
Hurdok-NethergardeKeep,200,20
Bebergamote,1368,136
Gwenito,291,29
Ziggypiggy,138,14
Snippz,639,64
Iksen,442,44
Ivyrayne,148,15
Goldengnome,483,48
Morsid,27,3
Sheeris,35,4
Yojojo,138,14
Woozie,837,84
Mycrata,14,1
Shendnoods-MirageRaceway,1099,110
Abraba,666,67
Asaki-MirageRaceway,56,5
Thebluepill,1104,111
Voldertron,82,8
Hunterlegion,60,6
Turecki,628,63
Visor,34,3
Féya,738,74
Tobiaspala,351,35
Rubble,590,60
Shiru,6,1
Stufo,176,18
Fazler-MirageRaceway,438,43
Lexi,1297,130
Holysht,20,2
Uroch,966,96
Agobunreturn,1127,112
Julius-MirageRaceway,17,2
Hau-MirageRaceway,438,44
Healmecarl,96,10
Dondrakiss,988,99
Everlight,24,2
Stompson-NethergardeKeep,32,3
Ezelleas,537,54
Libbie,148,15
Emberfall,478,48
Nibiru,1292,130
Bimbambusse,44,4
Deathwish-MirageRaceway,1249,125
Shendhealing-MirageRaceway,1099,110
Belgarion-NethergardeKeep,9,1
Aurorasylva,738,74
Petanker,1368,136
Viljar,63,6
Ezlock,537,54
Ertzaki-MirageRaceway,68,7
Sluger-NethergardeKeep,786,79
Tomthecat-NethergardeKeep,608,61
Littlestar,1292,130
Fallenaxe,108,11
Omegapint,58,6
Hemmick,61,6
Dhwaina,242,24
Hipryöväri-MirageRaceway,462,46
Linyera,669,67
Eliphaslevi-MirageRaceway,17,2
Turbostance,82,8
Iceabella,9,1
Wetpaper,61,6
Fyrestorm-NethergardeKeep,154,15
Hiptietäjä-MirageRaceway,462,46
Kaixali,966,96
Icehell-MirageRaceway,908,90
Capndinner,6,1
Polgara-NethergardeKeep,9,1
Lillian,200,20
Borbelade-NethergardeKeep,199,20
Chillwill,180,18
Krösna-NethergardeKeep,891,89
Cleanër,1368,136
Omorax,966,96
Noireneige,17,2
Katrana,9,1
Corrupted,52,5
Bolt-MirageRaceway,1249,125
Barsikk,944,95
Veirani,966,96
Lucenera,1292,130
Sylerx,666,67
Grym,42,4
Monogorna,142,14
Grisespy,61,6
Satsumaman,959,96
Legionpower,60,6
Duluna,72,7
Slåberg-NethergardeKeep,438,43
Dhealer,1368,136
Hiptaikuri-MirageRaceway,462,46
Gurr-NethergardeKeep,786,79
Kelissa,590,60
Lucker,590,59
Fobar-NethergardeKeep,891,89
Lensmann,14,1
Vidina,301,30
Gonz-NethergardeKeep,966,97
Ruhk,31,3
Lernaut,822,82
Gonzogimp,99,10
Banksg-NethergardeKeep,786,79
Zarasotrasa,60,6
Althur-MirageRaceway,908,90
Lima-NethergardeKeep,160,16
Zyirin-NethergardeKeep,82,8
Shekil,63,6
Darkage,1297,130
Henk,283,28
Vishious,148,15
Derberup-MirageRaceway,1246,124
Rosiefire,1186,119
Popsicle,1012,102
Grist,1257,125
Crépusculla,738,74
Jadis-MirageRaceway,17,2
Magiese,842,84
Legionpriest,60,6
Vez,218,22
Underhill-NethergardeKeep,9,1
Gaaryy-MirageRaceway,272,27
Buglord,597,60
Softpaper,61,6
Jonassalk-MirageRaceway,17,2
Isabella-MirageRaceway,17,2
Hygen,405,40
Notliabala,1104,111
Anklecutter-MirageRaceway,145,15
Pirotes,88,9
Doomkeeper,9,1
Bibounne,1368,136
Aalenia-NethergardeKeep,669,67
Dondrakis,988,99
Eboron,839,84
Magnusv-NethergardeKeep,134,13
Robiku-MirageRaceway,17,2
Tartree-NethergardeKeep,52,5
Crystalide,38,4
Legionrogue,60,6
Sluttygnome,66,7
Polarbeer,1104,111
Monogorn,142,14
Corrai,148,15
Thengel,82,8
Fabar-NethergardeKeep,891,89
Liabala,1104,111
Markofmir,934,93
Shania,48,5
Daasem,21,2
Emboukkan,944,95
Zaelofix-NethergardeKeep,786,79
Zwilf,63,6
Legionmage,60,6
Legionwarior,60,6
Deltoïde,309,31
Kuby,786,79
Weatherlight-PyrewoodVillage,1257,125
Elric,9,1
Linensstuff-PyrewoodVillage,61,6
Kharroch-PyrewoodVillage,966,96
Baerlyn,1042,104
Escanør-PyrewoodVillage,936,94
Legionrock-PyrewoodVillage,60,6
Jazeerah-PyrewoodVillage,1246,124
Tas,9,1
Druidofmir-PyrewoodVillage,934,93
Legiondruid-PyrewoodVillage,60,6
Inkie-PyrewoodVillage,148,15
Wayren,1042,104
Salisya-PyrewoodVillage,590,60
Masserati-PyrewoodVillage,1284,129
Nightstrider-PyrewoodVillage,478,48
Wànda-PyrewoodVillage,442,44
Dawt-PyrewoodVillage,148,15
Legionwarloc-PyrewoodVillage,60,6
Mikehunt-PyrewoodVillage,1104,111
Legionrocky-PyrewoodVillage,60,6
Scar-PyrewoodVillage,332,33
Crépuscula-PyrewoodVillage,738,74
Rosie-PyrewoodVillage,1186,119
Astalofix,786,79
Bonkei-PyrewoodVillage,837,84
Oldwar-PyrewoodVillage,262,26
Ardela,112,11
Hela,9,1
Lockofmir-PyrewoodVillage,934,93
Catschen-PyrewoodVillage,590,59
Agoburn-PyrewoodVillage,1127,112
Warriorofmir-PyrewoodVillage,934,93
Littlek-PyrewoodVillage,1292,130
Cichy-PyrewoodVillage,628,63
Phóbie-PyrewoodVillage,722,72
Kohai,112,11
Wiskeybarrel-PyrewoodVillage,1104,111
Agravanti,786,79
Ceilie,669,67
Ezhuntard-PyrewoodVillage,537,54
Dondrakiis-PyrewoodVillage,988,99
Bonker,32,3
Eleeo-PyrewoodVillage,112,11
Banksgherb,786,79
Banksgcoin,786,79
Skarlock-PyrewoodVillage,31,3
Sicari-PyrewoodVillage,31,3
Phabi-PyrewoodVillage,722,72
Agobun-PyrewoodVillage,1127,112
Palladio-PyrewoodVillage,325,32
Eowyx-PyrewoodVillage,48,5
Xixo,76,8
Nemesis,9,1
Gnomemonster-PyrewoodVillage,628,63
Kvieta-PyrewoodVillage,66,7
Gnomme-PyrewoodVillage,82,8
Dorant,786,79
Huntard,25,3
Warelv-PyrewoodVillage,610,61
Kipshiukas-PyrewoodVillage,11,1
Xaurime-PyrewoodVillage,966,96
Zevera-PyrewoodVillage,34,3
Krister,438,43
Uldis-PyrewoodVillage,61,6
Upsydaisy-PyrewoodVillage,138,14
Hurdok,200,20
Bebergamote-PyrewoodVillage,1368,136
Ziggypiggy-PyrewoodVillage,138,14
Snippz-PyrewoodVillage,639,64
Iksen-PyrewoodVillage,442,44
Ivyrayne-PyrewoodVillage,148,15
Morsid-PyrewoodVillage,27,3
Yojojo-PyrewoodVillage,138,14
Woozie-PyrewoodVillage,837,84
Mycrata-PyrewoodVillage,14,1
Abraba-PyrewoodVillage,666,67
Thebluepill-PyrewoodVillage,1104,111
Voldertron-PyrewoodVillage,82,8
Hunterlegion-PyrewoodVillage,60,6
Turecki-PyrewoodVillage,628,63
Féya-PyrewoodVillage,738,74
Tobiaspala-PyrewoodVillage,351,35
Rubble-PyrewoodVillage,590,60
Lexi-PyrewoodVillage,1297,130
Uroch-PyrewoodVillage,966,96
Agobunreturn-PyrewoodVillage,1127,112
Healmecarl-PyrewoodVillage,96,10
Dondrakiss-PyrewoodVillage,988,99
Stompson,32,3
Ezelleas-PyrewoodVillage,537,54
Libbie-PyrewoodVillage,148,15
Emberfall-PyrewoodVillage,478,48
Nibiru-PyrewoodVillage,1292,130
Belgarion,9,1
Aurorasylva-PyrewoodVillage,738,74
Petanker-PyrewoodVillage,1368,136
Ezlock-PyrewoodVillage,537,54
Sluger,786,79
Tomthecat,608,61
Littlestar-PyrewoodVillage,1292,130
Omegapint-PyrewoodVillage,58,6
Hemmick-PyrewoodVillage,61,6
Dhwaina-PyrewoodVillage,242,24
Linyera-PyrewoodVillage,669,67
Iceabella-PyrewoodVillage,9,1
Wetpaper-PyrewoodVillage,61,6
Fyrestorm,154,15
Kaixali-PyrewoodVillage,966,96
Polgara,9,1
Lillian-PyrewoodVillage,200,20
Borbelade,199,20
Chillwill-PyrewoodVillage,180,18
Krösna,891,89
Cleanër-PyrewoodVillage,1368,136
Omorax-PyrewoodVillage,966,96
Barsikk-PyrewoodVillage,944,95
Veirani-PyrewoodVillage,966,96
Lucenera-PyrewoodVillage,1292,130
Sylerx-PyrewoodVillage,666,67
Monogorna-PyrewoodVillage,142,14
Grisespy-PyrewoodVillage,61,6
Satsumaman-PyrewoodVillage,959,96
Legionpower-PyrewoodVillage,60,6
Slåberg,438,43
Dhealer-PyrewoodVillage,1368,136
Gurr,786,79
Kelissa-PyrewoodVillage,590,60
Lucker-PyrewoodVillage,590,59
Fobar,891,89
Vidina-PyrewoodVillage,301,30
Gonz,966,97
Ruhk-PyrewoodVillage,31,3
Lernaut-PyrewoodVillage,822,82
Banksg,786,79
Lima,160,16
Zyirin,82,8
Darkage-PyrewoodVillage,1297,130
Vishious-PyrewoodVillage,148,15
Rosiefire-PyrewoodVillage,1186,119
Popsicle-PyrewoodVillage,1012,102
Grist-PyrewoodVillage,1257,125
Crépusculla-PyrewoodVillage,738,74
Magiese-PyrewoodVillage,842,84
Legionpriest-PyrewoodVillage,60,6
Vez-PyrewoodVillage,218,22
Underhill,9,1
Buglord-PyrewoodVillage,597,60
Softpaper-PyrewoodVillage,61,6
Hygen-PyrewoodVillage,405,40
Notliabala-PyrewoodVillage,1104,111
Bibounne-PyrewoodVillage,1368,136
Aalenia,669,67
Dondrakis-PyrewoodVillage,988,99
Eboron-PyrewoodVillage,839,84
Magnusv,134,13
Tartree,52,5
Legionrogue-PyrewoodVillage,60,6
Polarbeer-PyrewoodVillage,1104,111
Monogorn-PyrewoodVillage,142,14
Corrai-PyrewoodVillage,148,15
Thengel-PyrewoodVillage,82,8
Fabar,891,89
Liabala-PyrewoodVillage,1104,111
Markofmir-PyrewoodVillage,934,93
Shania-PyrewoodVillage,48,5
Emboukkan-PyrewoodVillage,944,95
Zaelofix,786,79
Zwilf-PyrewoodVillage,63,6
Legionmage-PyrewoodVillage,60,6
Legionwarior-PyrewoodVillage,60,6
Deltoïde-PyrewoodVillage,309,31
Huggaträd,438,43
Jefferry,745,75
Stormcrow,1249,125
Hiphoituri,462,46
Haugaard,438,44
Joyce,1249,125
Erguine,68,7
Libidor,66,7
Legiongold,60,6
Docenten,438,43
Hiplock,462,46
Hiphuntteri,462,46
Ruby,41,4
Hipsoturi,462,46
Vidina,301,30
Shendnoods,1099,110
Asaki,56,5
Fazler,438,43
Julius,17,2
Hau,438,44
Deathwish,1249,125
Shendhealing,1099,110
Ertzaki,68,7
Hipryöväri,462,46
Eliphaslevi,17,2
Hiptietäjä,462,46
Icehell,908,90
Bolt,1249,125
Hiptaikuri,462,46
Althur,908,90
Derberup,1246,124
Jadis,17,2
Gaaryy,272,27
Jonassalk,17,2
Isabella,17,2
Anklecutter,145,15
Robiku,17,2
